timestamp,area_pixeles,temp_min,temp_max,temp_avg
1772662513.9638467,4086,68.0,206.0,159.48
1772662513.9658597,1007,78.0,184.0,140.02
1772662513.9685342,1398,53.0,150.0,95.34
1772662513.9685342,1316,92.0,205.0,156.67
1772662513.9685342,920,63.0,152.0,110.22
1772662513.973992,1467,45.0,158.0,87.15
1772662513.975502,2157,39.0,167.0,95.93
1772662513.988124,5526,3.0,185.0,127.92
1772662513.9913313,802,98.0,149.0,133.22
1772662513.998379,11277,9.0,185.0,120.86
1772662514.1677012,818,68.0,192.0,142.69
1772662514.172391,885,29.0,126.0,74.21
1772662514.172391,1040,58.0,163.0,104.88
1772662514.1752186,1355,51.0,180.0,124.81
1772662514.1793494,852,95.0,168.0,127.04
1772662514.1813593,1072,20.0,150.0,81.14
1772662514.1853757,1895,40.0,164.0,94.16
1772662514.2684703,5757,64.0,208.0,163.4
1772662514.2715223,846,61.0,154.0,99.4
1772662514.2740293,1368,77.0,186.0,137.05
1772662514.2755413,1787,101.0,203.0,157.33
1772662514.279061,1049,66.0,151.0,110.83
1772662514.279061,1827,42.0,162.0,91.76
1772662514.2820716,1182,44.0,189.0,129.63
1772662514.2852347,2995,34.0,163.0,93.05
1772662514.287244,5436,40.0,186.0,136.25
1772662514.2893305,11230,18.0,184.0,116.14
1772662514.366496,3430,49.0,190.0,125.52
1772662514.3685024,2268,40.0,183.0,107.64
1772662514.3718593,883,37.0,120.0,80.46
1772662514.375663,2603,105.0,186.0,153.98
1772662514.375663,1538,100.0,196.0,157.81
1772662514.379025,1580,41.0,141.0,95.06
1772662514.3831813,983,68.0,167.0,130.53
1772662514.383922,1046,49.0,163.0,99.01
1772662514.383922,1333,14.0,135.0,64.45
1772662514.3892975,4675,36.0,175.0,123.17
1772662514.3892975,2739,26.0,158.0,84.31
1772662514.459607,863,27.0,133.0,67.23
1772662514.4641776,2559,16.0,159.0,62.64
1772662514.4661875,4420,9.0,180.0,95.53
1772662514.5620868,1359,14.0,175.0,113.08
1772662514.6675649,970,72.0,190.0,140.87
1772662514.6721902,945,91.0,166.0,128.26
1772662514.6752067,819,38.0,184.0,109.11
1772662514.6777318,1334,16.0,147.0,74.43
1772662514.6787963,2535,36.0,171.0,105.5
1772662514.7714188,2263,45.0,151.0,102.77
1772662514.7729475,1820,57.0,154.0,117.13
1772662514.775457,1809,43.0,161.0,97.65
1772662514.7789629,2900,23.0,176.0,107.56
1772662514.780972,1226,47.0,155.0,101.04
1772662514.780972,3075,18.0,173.0,83.17
1772662514.785715,1787,27.0,165.0,95.65
1772662514.7877212,3834,21.0,167.0,93.92
1772662514.8619163,4009,42.0,171.0,106.34
1772662514.863925,1571,49.0,181.0,121.57
1772662514.8668215,891,40.0,147.0,93.18
1772662514.8688314,865,71.0,172.0,124.01
1772662514.8688314,2939,21.0,171.0,112.47
1772662514.871424,1746,22.0,148.0,58.63
1772662514.871424,3466,1.0,181.0,73.6
1772662514.8751998,3556,1.0,120.0,54.73
1772662515.003775,2879,65.0,206.0,161.35
1772662515.0057833,1641,62.0,199.0,153.48
1772662515.0095365,1012,50.0,147.0,92.28
1772662515.0332513,985,79.0,181.0,135.87
1772662515.0374901,1175,95.0,200.0,150.48
1772662515.0415072,1779,42.0,161.0,88.26
1772662515.0502467,1551,35.0,158.0,93.29
1772662515.0542727,5958,15.0,182.0,122.94
1772662515.0616913,4684,16.0,172.0,119.91
1772662515.0638561,2478,23.0,129.0,89.96
1772662515.0995028,2746,38.0,189.0,127.56
1772662515.1015086,998,79.0,180.0,145.49
1772662515.1035094,934,104.0,194.0,152.41
1772662515.1055095,817,49.0,154.0,95.75
1772662515.1075091,3906,36.0,174.0,119.13
1772662515.1105092,2409,16.0,158.0,82.11
1772662515.1605892,938,56.0,182.0,117.33
1772662515.1629632,3195,42.0,193.0,117.58
1772662515.1639824,1083,50.0,122.0,93.2
1772662515.1660213,870,34.0,120.0,82.26
